NAME,STATE,COUNTY,total pop,Total Households for internet,Total with Internet,Total Households for computer,Total Households for income and internet,<10k,10k to 20k,20k to 35k,state,county,tract,35k to 50k,50k to 75k,>75k,Total Households for age groups,Under 18,18 to 64,65+,Total Households for education,Less than HS grad,HS grad but not college,Bachelor's or higher,Total Housholds for labor force,Civilian labor force,"Civilian labor force, employed","Civilian labor force, unemployed",Not in labor force,pct with internet,pct with dial-up,pct with broadband,pct with cellular,"pct with BB:cable, fiber optic, or DSL",pct with satelitte,pct with other,pct without internet,pct with computer,pct with comp + dial-up,pct with comp + broadband,pct with comp no internet,pct without a computer,pct <10k,pct <10k with dial-up,pct <10k with broadband,pct <10k without internet sub,pct 10k-20k,pct 10k-20k with dial-up,pct 10k-20k with broadband,pct 10k-20k without internet sub,pct 20k-35k,pct 20k-35k with dial-up,pct 20k-35k with broadband,pct 20k-35k without internet sub,pct 35k-50k,pct 35k-50k with dial-up,pct 35k-50k with broadband,pct 35k-50k without internet sub,pct 50k-75k,pct 50k-75k with dial-up,pct 50k-75k with broadband,pct 50k-75k without internet sub,pct >75k,pct >75k with dial-up,pct >75k with broadband,pct >75k without internet sub,pct under 18,"pct under 18, has a computer","pct under 18, has a comp + dial-up","pct under 18, has a comp + broadband","pct under 18, has a comp, no internet","pct under 18, no comp",pct 18-64,"pct 18-64, has a computer","pct 18-64, has a comp + dial-up","pct 18-64, has a comp + broadband","pct 18-64, has a comp, no internet","pct 18-64, no comp",pct 65+,"pct 65+, has a computer","pct 65+, has a comp + dial-up","pct 65+, has a comp + broadband","pct 65+, has a comp, no internet","pct 65+, no comp",pct <HS,"pct <HS, has a computer","pct <HS, has a comp + dial-up","pct <HS, has a comp + broadband","pct <HS, has a comp, no internet","pct <HS, no comp",pct HS grad,"pct HS grad, has a computer","pct HS grad, has a comp + dial-up","pct HS grad, has a comp + broadband","pct HS grad, has a comp, no internet","pct HS grad, no comp",pct Bach+,"pct Bach+, has a computer","pct Bach+, has a comp + dial-up","pct Bach+, has a comp + broadband","pct Bach+, has a comp, no internet","pct Bach+, no comp",pct civilian-employed,"pct civilian-employed, has a computer","pct civilian-employed, has a comp + dial-up","pct civilian-employed, has a comp + broadband","pct civilian-employed, has a comp, no internet","pct , no comp",pct civilian-unemployed,"pct civilian-unemployed, has a computer","pct civilian-unemployed, has a comp + dial-up","pct civilian-unemployed, has a comp + broadband","pct civilian-unemployed, has a comp, no internet","pct civilian-unemployed, no comp",pct not in labor force,"pct not in labor force, has a computer","pct not in labor force, has a comp + dial-up","pct not in labor force, has a comp + broadband","pct not in labor force, has a comp, no internet","pct not in labor force, no comp"
"Census Tract 116, Talladega County, Alabama",1.0,121.0,4846.0,1841.0,1453.0,1841.0,1841.0,158.0,466.0,377.0,01,121,011600,142.0,278.0,420.0,4846.0,1414.0,2742.0,690.0,2898.0,588.0,1920.0,390.0,3519.0,1865.0,1729.0,136.0,1654.0,78.92449755567627,0.0,78.92449755567627,19.17436175991309,15.10048886474742,1.0320478001086366,0.0,20.42368278109723,82.50950570342205,0.0,77.45790331341662,5.051602390005431,17.490494296577946,8.582292232482347,0.0,67.72151898734177,32.278481012658226,25.312330255296036,0.0,66.95278969957081,33.047210300429185,20.478001086366106,0.0,61.53846153846154,38.46153846153846,7.7131993481803365,0.0,81.69014084507042,18.309859154929576,15.10048886474742,0.0,100.0,0.0,22.813688212927758,0.0,97.14285714285714,2.857142857142857,29.178704085843997,98.7977369165488,0.0,95.61527581329561,3.1824611032531824,1.2022630834512023,56.58274865868758,91.94018964259665,0.0,86.65207877461707,5.288110867979577,8.059810357403355,14.238547255468427,68.55072463768116,0.0,62.17391304347826,6.3768115942028984,31.44927536231884,20.28985507246377,62.755102040816325,0.0,55.95238095238095,6.802721088435374,37.244897959183675,66.25258799171843,89.32291666666667,0.0,81.5625,7.760416666666667,10.677083333333334,13.457556935817806,96.41025641025641,0.0,96.41025641025641,0.0,3.58974358974359,49.1332764990054,95.48872180451127,0.0,93.17524580682475,2.313475997686524,4.511278195488722,3.864734299516908,89.70588235294117,0.0,89.70588235294117,0.0,10.294117647058824,47.00198920147769,78.05320435308343,0.0,69.0447400241838,9.008464328899636,21.946795646916566
"Census Tract 51.08, Morgan County, Alabama",1.0,103.0,3700.0,1581.0,1226.0,1581.0,1581.0,138.0,100.0,390.0,01,103,005108,162.0,210.0,581.0,3691.0,680.0,2249.0,762.0,2703.0,412.0,1411.0,880.0,3069.0,1848.0,1729.0,119.0,1221.0,77.54585705249842,0.2530044275774826,77.29285262492094,6.072106261859583,18.34282099936749,2.5300442757748263,0.0,17.077798861480076,87.34977862112586,0.2530044275774826,75.26881720430107,11.827956989247312,12.65022137887413,8.72865275142315,0.0,50.0,50.0,6.325110689437065,4.0,48.0,48.0,24.667931688804554,0.0,54.87179487179487,45.12820512820513,10.246679316888045,0.0,70.37037037037037,29.62962962962963,13.282732447817837,0.0,96.19047619047619,3.8095238095238093,36.74889310562935,0.0,98.96729776247848,1.0327022375215147,18.42319154700623,100.0,0.0,100.0,0.0,0.0,60.93199674884855,90.08448199199644,0.31124944419742107,78.61271676300578,11.160515784793242,9.915518008003557,20.64481170414522,84.51443569553805,0.5249343832020997,79.26509186351706,4.724409448818897,15.485564304461942,15.242323344432112,45.63106796116505,0.0,12.864077669902912,32.76699029126213,54.36893203883495,52.20125786163522,92.84195605953225,0.28348688873139616,82.3529411764706,10.205527994330263,7.158043940467754,32.556418793932664,98.18181818181819,0.7954545454545454,96.47727272727273,0.9090909090909091,1.8181818181818181,56.33756924079505,96.18276460381723,0.6362058993637941,83.86350491613649,11.683053788316947,3.8172353961827645,3.877484522645813,69.74789915966386,0.0,69.74789915966386,0.0,30.252100840336134,39.784946236559136,80.42588042588042,0.0,73.46437346437347,6.961506961506961,19.574119574119575
"Census Tract 57.01, Morgan County, Alabama",1.0,103.0,2420.0,956.0,709.0,956.0,956.0,41.0,114.0,151.0,01,103,005701,149.0,195.0,306.0,2420.0,464.0,1555.0,401.0,1821.0,327.0,1099.0,395.0,1953.0,1107.0,1048.0,59.0,846.0,74.16317991631799,0.0,74.16317991631799,13.702928870292887,16.213389121338913,3.0334728033472804,2.510460251046025,24.89539748953975,84.93723849372385,0.0,72.90794979079497,12.02928870292887,15.06276150627615,4.2887029288702925,0.0,26.829268292682926,73.17073170731707,11.92468619246862,0.0,57.89473684210526,42.10526315789474,15.794979079497908,0.0,65.56291390728477,34.437086092715234,15.585774058577407,0.0,80.53691275167785,19.463087248322147,20.397489539748953,0.0,61.53846153846154,38.46153846153846,32.00836820083682,0.0,95.7516339869281,4.248366013071895,19.173553719008265,90.30172413793103,0.0,75.64655172413794,14.655172413793103,9.698275862068966,64.25619834710744,92.28295819935691,0.0,81.86495176848875,10.418006430868168,7.717041800643087,16.570247933884296,68.3291770573566,0.0,64.33915211970074,3.9900249376558605,31.67082294264339,17.957166392092258,65.13761467889908,0.0,59.32721712538226,5.81039755351682,34.862385321100916,60.35145524437122,87.89808917197452,0.0,78.16196542311192,9.736123748862603,12.101910828025478,21.69137836353652,100.0,0.0,93.41772151898734,6.582278481012659,0.0,53.661034306195596,94.56106870229007,0.0,78.33969465648855,16.221374045801525,5.438931297709924,3.0209933435739886,100.0,0.0,100.0,0.0,0.0,43.31797235023041,77.54137115839244,0.0,76.59574468085107,0.9456264775413712,22.458628841607567
"Census Tract 57.02, Morgan County, Alabama",1.0,103.0,6661.0,2536.0,1817.0,2536.0,2536.0,184.0,308.0,546.0,01,103,005702,388.0,395.0,715.0,6659.0,1321.0,3982.0,1356.0,4958.0,1210.0,2604.0,1144.0,5572.0,3087.0,2934.0,153.0,2485.0,71.64826498422713,0.0,71.64826498422713,13.840694006309148,14.274447949526813,1.222397476340694,0.0,25.27602523659306,83.47791798107255,0.0,71.64826498422713,11.829652996845425,16.522082018927446,7.255520504731861,0.0,35.869565217391305,64.1304347826087,12.145110410094638,0.0,78.24675324675324,21.753246753246753,21.529968454258675,0.0,49.81684981684982,50.18315018315018,15.299684542586752,0.0,74.48453608247422,25.515463917525775,15.57570977917981,0.0,66.58227848101266,33.41772151898734,28.194006309148264,0.0,95.94405594405595,4.055944055944056,19.837813485508335,100.0,0.0,93.9439818319455,6.056018168054504,0.0,59.79876858387145,96.40883977900552,0.0,86.06228026117529,10.346559517830237,3.591160220994475,20.363417930620212,70.64896755162242,0.0,63.64306784660767,7.005899705014749,29.35103244837758,24.405002016942316,73.30578512396694,0.0,51.570247933884296,21.735537190082646,26.694214876033058,52.521177894312224,92.62672811059907,0.0,87.78801843317973,4.838709677419355,7.373271889400922,23.07382008874546,97.72727272727273,0.0,91.95804195804196,5.769230769230769,2.272727272727273,52.65613783201723,97.68234492160873,0.0,87.69597818677573,9.986366734832993,2.3176550783912746,2.745872218234027,100.0,0.0,73.85620915032679,26.143790849673202,0.0,44.597989949748744,80.96579476861167,0.0,73.96378269617706,7.002012072434607,19.03420523138833
"Census Tract 2, Randolph County, Alabama",1.0,111.0,3569.0,1253.0,871.0,1253.0,1253.0,83.0,120.0,201.0,01,111,000200,127.0,397.0,325.0,3569.0,881.0,2025.0,663.0,2550.0,397.0,1689.0,464.0,2800.0,1420.0,1404.0,16.0,1380.0,69.51316839584996,0.0,69.51316839584996,18.99441340782123,12.450119712689546,4.150039904229848,0.0,29.050279329608937,79.72865123703113,0.0,68.79489225857941,10.933758978451715,20.271348762968874,6.624102154828412,0.0,30.120481927710845,69.87951807228916,9.577015163607342,0.0,18.333333333333332,81.66666666666667,16.0415003990423,0.0,54.72636815920398,45.27363184079602,10.135674381484437,0.0,90.55118110236221,9.448818897637794,31.68395849960096,0.0,71.53652392947103,28.463476070528966,25.93774940143655,0.0,96.92307692307692,3.076923076923077,24.684785654244887,84.33598183881952,0.0,77.07150964812713,7.264472190692395,15.664018161180477,56.738582235920425,90.17283950617283,0.0,79.35802469135803,10.814814814814815,9.82716049382716,18.576632109834687,56.25942684766214,0.0,41.327300150829565,14.93212669683258,43.74057315233786,15.568627450980392,68.76574307304786,0.0,53.65239294710327,15.113350125944585,31.234256926952142,66.23529411764706,78.92243931320309,0.0,67.02190645352279,11.900532859680284,21.07756068679692,18.19607843137255,98.49137931034483,0.0,86.20689655172414,12.28448275862069,1.5086206896551724,50.142857142857146,89.31623931623932,0.0,84.82905982905983,4.487179487179487,10.683760683760683,0.5714285714285714,100.0,0.0,81.25,18.75,0.0,49.285714285714285,75.43478260869566,0.0,56.88405797101449,18.55072463768116,24.565217391304348
"Census Tract 3, Randolph County, Alabama",1.0,111.0,4257.0,1683.0,1183.0,1683.0,1683.0,153.0,201.0,307.0,01,111,000300,250.0,284.0,488.0,4171.0,902.0,2186.0,1083.0,3001.0,556.0,1860.0,585.0,3352.0,1587.0,1509.0,78.0,1765.0,70.29114676173499,0.17825311942959002,70.11289364230541,13.071895424836601,6.714200831847891,1.7825311942959001,0.0,28.93642305407011,79.91681521093285,0.17825311942959002,69.87522281639929,9.86333927510398,20.083184789067143,9.090909090909092,0.0,54.90196078431372,45.09803921568628,11.942959001782532,0.0,36.81592039800995,63.18407960199005,18.24123588829471,0.9771986970684039,45.27687296416938,53.74592833876221,14.854426619132502,0.0,86.4,13.6,16.87462863933452,0.0,66.19718309859155,33.80281690140845,28.995840760546642,0.0,98.15573770491804,1.8442622950819672,21.625509470151044,97.22838137472284,0.0,91.24168514412416,5.986696230598669,2.7716186252771617,52.40949412610885,91.39981701738334,0.0,82.84537968892955,8.554437328453798,8.600182982616651,25.96499640374011,67.86703601108033,0.4616805170821791,57.987072945521696,9.418282548476455,32.13296398891967,18.527157614128622,66.00719424460432,0.0,34.35251798561151,31.654676258992804,33.992805755395686,61.97934021992669,83.17204301075269,0.26881720430107525,77.47311827956989,5.43010752688172,16.827956989247312,19.493502165944687,97.09401709401709,0.0,95.04273504273505,2.051282051282051,2.905982905982906,45.017899761336515,92.44532803180914,0.0,87.80649436713055,4.638833664678595,7.5546719681908545,2.3269689737470167,100.0,0.0,70.51282051282051,29.487179487179485,0.0,52.65513126491647,76.09065155807366,0.28328611898017,64.24929178470255,11.558073654390935,23.909348441926344
"Census Tract 4, Randolph County, Alabama",1.0,111.0,4913.0,1790.0,1430.0,1790.0,1790.0,226.0,254.0,357.0,01,111,000400,259.0,343.0,351.0,4814.0,1106.0,2901.0,807.0,3188.0,478.0,2223.0,487.0,3846.0,2110.0,2030.0,80.0,1736.0,79.88826815642459,2.5139664804469275,77.37430167597765,13.46368715083799,11.731843575418994,0.0,0.0,17.150837988826815,86.25698324022346,2.5139664804469275,74.80446927374301,8.938547486033519,13.743016759776536,12.625698324022347,0.0,79.64601769911505,20.353982300884955,14.189944134078212,5.905511811023622,46.8503937007874,47.24409448818898,19.94413407821229,2.2408963585434174,74.50980392156863,23.249299719887954,14.46927374301676,8.494208494208495,69.88416988416988,21.62162162162162,19.162011173184357,0.0,90.96209912536443,9.037900874635568,19.608938547486034,0.0,93.16239316239316,6.837606837606837,22.97465724968841,100.0,6.509945750452079,90.6871609403255,2.8028933092224233,0.0,60.261736601578725,94.55360220613582,1.0341261633919339,85.72905894519131,7.790417097552568,5.446397793864184,16.763606148732862,70.26022304832713,2.6022304832713754,59.727385377943,7.930607187112764,29.739776951672862,14.993726474278544,63.80753138075314,2.719665271966527,43.30543933054393,17.782426778242677,36.19246861924686,69.73023839397742,91.99280251911831,0.7197480881691408,85.24516419253261,6.027890238416554,8.007197480881691,15.27603513174404,93.42915811088295,4.517453798767967,86.44763860369609,2.4640657084188913,6.570841889117043,52.782111284451375,95.66502463054188,1.477832512315271,86.50246305418719,7.684729064039409,4.334975369458128,2.080083203328133,100.0,0.0,91.25,8.75,0.0,45.13780551222049,82.14285714285714,1.2096774193548387,71.83179723502305,9.101382488479263,17.857142857142858
"Census Tract 5, Randolph County, Alabama",1.0,111.0,4506.0,1944.0,1470.0,1944.0,1944.0,83.0,382.0,327.0,01,111,000500,240.0,479.0,433.0,4444.0,809.0,2774.0,861.0,3242.0,788.0,1898.0,556.0,3674.0,2124.0,2043.0,81.0,1550.0,75.61728395061728,4.012345679012346,71.60493827160494,13.631687242798353,10.648148148148149,0.0,0.9259259259259259,23.096707818930042,86.67695473251028,4.012345679012346,70.93621399176955,11.728395061728396,13.323045267489713,4.269547325102881,0.0,100.0,0.0,19.650205761316872,0.0,52.35602094240838,47.64397905759162,16.820987654320987,0.0,75.22935779816514,24.770642201834864,12.345679012345679,17.5,60.833333333333336,21.666666666666668,24.63991769547325,7.515657620041754,59.2901878914405,33.194154488517746,22.273662551440328,0.0,100.0,0.0,18.204320432043204,100.0,0.0,83.68355995055624,16.31644004944376,0.0,62.42124212421242,95.06128334534968,6.560922855082913,79.84859408795963,8.651766402307137,4.9387166546503245,19.374437443744373,78.04878048780488,0.0,60.85946573751452,17.18931475029036,21.951219512195124,24.305983960518198,81.7258883248731,0.0,69.16243654822335,12.563451776649746,18.274111675126903,58.54410857495373,91.99157007376185,4.109589041095891,72.6554267650158,15.226554267650158,8.008429926238145,17.14990746452807,94.60431654676259,0.0,94.60431654676259,0.0,5.39568345323741,55.60696788241698,93.48996573666177,6.363191385217817,77.5330396475771,9.593734703866863,6.510034263338228,2.2046815459989113,77.77777777777777,64.19753086419753,13.580246913580247,0.0,22.22222222222222,42.1883505715841,88.70967741935483,0.0,76.3225806451613,12.387096774193548,11.290322580645162
"Census Tract 6, Randolph County, Alabama",1.0,111.0,2230.0,710.0,434.0,710.0,710.0,71.0,112.0,152.0,01,111,000600,85.0,141.0,149.0,1983.0,504.0,1118.0,361.0,1320.0,364.0,817.0,139.0,1567.0,826.0,755.0,71.0,741.0,61.12676056338028,3.5211267605633805,57.605633802816904,12.535211267605634,7.042253521126761,1.1267605633802817,0.0,33.66197183098591,75.07042253521126,3.5211267605633805,56.901408450704224,14.647887323943662,24.929577464788732,10.0,0.0,56.33802816901409,43.66197183098591,15.774647887323944,16.964285714285715,22.321428571428573,60.714285714285715,21.408450704225352,0.0,55.921052631578945,44.078947368421055,11.971830985915492,7.0588235294117645,63.529411764705884,29.41176470588235,19.859154929577464,0.0,54.60992907801418,45.39007092198582,20.985915492957748,0.0,85.90604026845638,14.093959731543624,25.416036308623298,95.83333333333333,2.380952380952381,75.39682539682539,18.055555555555557,4.166666666666667,56.379223398890566,89.98211091234347,1.1627906976744187,71.64579606440071,17.173524150268335,10.01788908765653,18.204740292486132,59.2797783933518,5.2631578947368425,39.05817174515236,14.958448753462603,40.7202216066482,27.575757575757574,73.9010989010989,5.21978021978022,48.62637362637363,20.054945054945055,26.0989010989011,61.89393939393939,81.7625458996328,1.591187270501836,69.40024479804161,10.771113831089352,18.2374541003672,10.530303030303031,90.64748201438849,0.0,56.115107913669064,34.53237410071942,9.352517985611511,48.181238034460755,88.87417218543047,1.7218543046357615,70.86092715231788,16.29139072847682,11.125827814569536,4.530950861518826,100.0,0.0,76.05633802816901,23.943661971830984,0.0,47.28781110402042,75.03373819163293,2.5641025641025643,56.41025641025641,16.059379217273953,24.966261808367072
"Census Tract 401.03, St. Clair County, Alabama",1.0,115.0,9311.0,3206.0,2595.0,3206.0,3206.0,148.0,147.0,427.0,01,115,040103,230.0,865.0,1389.0,9305.0,2378.0,5836.0,1091.0,6069.0,477.0,4434.0,1158.0,7214.0,4884.0,4758.0,126.0,2330.0,80.94198378041173,1.6843418590143482,79.25764192139738,8.702432938240799,14.660012476606363,0.5302557704304429,0.0,14.660012476606363,92.5764192139738,1.6843418590143482,78.78976918278228,12.102308172177167,7.423580786026201,4.616344354335621,0.0,34.45945945945946,65.54054054054055,4.585152838427947,0.0,51.70068027210884,48.29931972789116,13.318777292576419,2.810304449648712,84.30913348946136,12.880562060889929,7.174048658764816,18.26086956521739,46.08695652173913,35.65217391304348,26.980661260137243,0.0,70.98265895953757,29.017341040462426,43.325015595757954,0.0,96.04031677465802,3.9596832253419727,25.55615260612574,99.36921783010933,6.139613120269134,83.68376787216148,9.545836837678722,0.6307821698906644,62.718968296614726,96.59013022618231,1.730637422892392,84.85263879369431,10.006854009595614,3.4098697738176833,11.724879097259539,88.54262144821264,0.0,68.4692942254812,20.07332722273144,11.45737855178735,7.859614434008898,67.08595387840671,0.0,42.138364779874216,24.947589098532493,32.914046121593294,73.05981216015819,96.75236806495263,2.277852954442941,80.829950383401,13.644564727108705,3.2476319350473615,19.080573405832922,100.0,0.0,97.49568221070811,2.5043177892918824,0.0,65.95508733019129,98.7389659520807,1.1349306431273645,88.98696931483816,8.617065994115174,1.2610340479192939,1.7466038258940948,100.0,0.0,64.28571428571429,35.714285714285715,0.0,32.29830884391461,88.6695278969957,2.017167381974249,71.1587982832618,15.493562231759658,11.330472103004292
