,Name,Total Population,state,county,tract,Median Household Income,Total Households,pct_white,pct_black,pct_hispanic/latino,pct_asian,pct_native,pct_male,pct_female,pct_21-29,pct_30s,pct_40s,pct_50s,pct_60+,pct_HighSchoolGrad,pct_BachelorGrad,pct_married,Count_15+,pct_employed,pct_below_poverty,pct_income_u10k,pct_income_10-15k,pct_income_15-20k,pct_income_20-25k,pct_income_25-30k,pct_income_30-35k,pct_income_35-40k,pct_income_40-45k,pct_income_45-50k,pct_income_50-60k,pct_income_60-75k,pct_income_75-100k,pct_income_100-125k,pct_income_125-150k,pct_income_150-200k,pct_income_200k+,pct_income_10-25k,pct_income_25-50k,pct_income_50-75k,pct_income_100-150k,pct_Veterans
0,"Census Tract 55, Onondaga County, New York",3563.0,36,067,005500,31321.0,1820.0,40.47151277013752,38.31041257367387,5.051922537187763,7.044625315745159,1.1787819253438114,47.76873421274207,52.23126578725793,27.75750771821499,15.352231265787259,10.468706146505754,9.682851529609879,11.198428290766207,23.895027624309392,16.114180478821364,25.667134831460675,2848.0,60.91994382022472,51.080550098231825,23.186813186813186,9.505494505494505,8.351648351648352,4.285714285714286,3.131868131868132,5.8791208791208796,2.802197802197802,4.065934065934066,11.31868131868132,5.604395604395604,6.923076923076923,10.87912087912088,2.5274725274725274,0.7692307692307693,0.7692307692307693,0.0,22.142857142857142,27.197802197802197,12.527472527472527,3.2967032967032965,4.175744371822804
1,"Census Tract 56.01, Onondaga County, New York",1599.0,36,067,005601,85417.0,694.0,80.30018761726079,5.128205128205129,7.004377736085053,5.816135084427767,0.0,46.71669793621013,53.28330206378987,15.259537210756722,13.008130081300813,12.132582864290182,14.571607254534085,21.82614133833646,10.311111111111112,23.11111111111111,48.80774962742176,1342.0,74.29210134128166,43.402126328955596,6.051873198847262,0.8645533141210374,1.8731988472622478,1.8731988472622478,0.0,1.8731988472622478,5.187319884726225,4.034582132564841,6.051873198847262,5.3314121037463975,11.959654178674352,22.19020172910663,15.561959654178674,4.034582132564841,7.92507204610951,5.187319884726225,4.610951008645533,17.146974063400577,17.29106628242075,19.596541786743515,3.576982892690513
2,"Census Tract 61.02, Onondaga County, New York",1842.0,36,067,006102,19430.0,1305.0,53.96308360477742,17.42671009771987,2.9315960912052117,16.395222584147664,2.44299674267101,46.85124864277959,53.14875135722041,24.864277958740498,9.391965255157437,4.614549402823019,8.306188925081432,43.91965255157437,23.157894736842106,19.736842105263158,22.057953873447666,1691.0,40.33116499112951,70.84690553745928,15.78544061302682,21.0727969348659,14.329501915708812,9.50191570881226,6.360153256704981,3.2950191570881224,3.2950191570881224,4.444444444444445,1.839080459770115,4.75095785440613,7.509578544061303,2.0689655172413794,5.517241379310345,0.0,0.22988505747126436,0.0,44.90421455938697,19.233716475095786,12.260536398467433,5.517241379310345,8.27912477823773
3,"Census Tract 112.01, Onondaga County, New York",3844.0,36,067,011201,63395.0,1507.0,90.45265348595213,3.3298647242455774,3.8761706555671176,1.4828303850156088,0.0,47.81477627471384,52.18522372528616,12.617065556711758,13.085327783558792,8.55879292403746,18.366285119667012,19.146722164412072,31.895528294420263,17.451523545706372,55.745642349903164,3098.0,66.39767591994836,39.20395421436004,3.51692103516921,1.26078301260783,1.1280690112806901,4.512276045122761,6.768414067684141,4.37956204379562,2.38885202388852,3.0524220305242205,5.441274054412741,10.28533510285335,21.632382216323823,12.143331121433311,8.626410086264102,7.232913072329131,3.6496350364963503,3.9814200398142003,6.901128069011281,22.030524220305242,31.91771731917717,15.859323158593233,4.888888888888889
4,"Census Tract 56.02, Onondaga County, New York",3950.0,36,067,005602,-666666666.0,63.0,56.075949367088604,13.746835443037975,8.91139240506329,17.0126582278481,1.139240506329114,37.49367088607595,62.50632911392405,20.734177215189874,0.6835443037974683,0.0,0.7341772151898734,0.0,0.0,33.68421052631579,0.7088607594936709,3950.0,30.455696202531644,1.5949367088607596,36.507936507936506,6.349206349206349,0.0,0.0,4.761904761904762,0.0,28.571428571428573,0.0,0.0,0.0,11.11111111111111,0.0,6.349206349206349,0.0,6.349206349206349,0.0,6.349206349206349,33.333333333333336,11.11111111111111,6.349206349206349,0.0
5,"Census Tract 103.21, Onondaga County, New York",2754.0,36,067,010321,100833.0,974.0,92.19317356572259,0.29048656499636893,1.888162672476398,0.5809731299927379,0.0,48.36601307189542,51.63398692810458,10.965867828612927,14.669571532316631,11.474219317356573,14.960058097312999,22.875816993464053,29.635416666666668,15.46875,68.1592039800995,2211.0,69.28991406603348,35.36673928830792,1.540041067761807,1.2320328542094456,0.5133470225872689,1.540041067761807,2.8747433264887063,2.7720739219712525,1.4373716632443532,2.6694045174537986,1.9507186858316221,4.414784394250513,12.525667351129364,16.2217659137577,12.012320328542094,20.431211498973305,11.60164271047228,6.262833675564682,3.2854209445585214,11.704312114989733,16.940451745379878,32.4435318275154,8.23417420276059
6,"Census Tract 119, Onondaga County, New York",3475.0,36,067,011900,74625.0,1270.0,94.58992805755396,0.2014388489208633,3.223021582733813,0.5179856115107914,0.0,51.71223021582734,48.28776978417266,8.028776978417266,13.381294964028777,9.323741007194245,19.53956834532374,24.258992805755394,27.8,18.04,59.77961432506887,2904.0,61.225895316804404,36.54676258992806,1.7322834645669292,0.5511811023622047,2.047244094488189,4.881889763779528,1.0236220472440944,5.826771653543307,2.283464566929134,0.47244094488188976,7.165354330708661,9.606299212598426,14.881889763779528,15.669291338582678,11.653543307086615,6.771653543307087,10.393700787401574,5.039370078740157,7.480314960629921,16.771653543307085,24.488188976377955,18.425196850393704,5.984192698532179
7,"Census Tract 126, Onondaga County, New York",5353.0,36,067,012600,78155.0,2105.0,92.95722025032691,0.7098823089856156,2.895572576125537,2.8582103493368205,0.0,47.431346908275735,52.568653091724265,13.861386138613861,8.68671772837661,14.066878385951803,11.021856902671399,31.0480104614235,24.360940695296524,24.76993865030675,55.39065910082933,4582.0,67.35050196420777,39.32374369512423,3.4204275534441804,0.7125890736342043,5.7957244655581945,2.327790973871734,7.933491686460807,0.7125890736342043,1.9477434679334917,2.8978622327790973,6.318289786223278,9.311163895486937,7.220902612826603,22.612826603325416,10.166270783847981,6.603325415676959,7.980997624703088,4.038004750593824,8.836104513064132,19.80997624703088,16.53206650831354,16.76959619952494,10.14091014091014
8,"Census Tract 361, Queens County, New York",2238.0,36,081,036100,47419.0,618.0,3.261840929401251,16.890080428954423,64.74530831099196,14.432529043789097,0.0,50.402144772117964,49.597855227882036,15.907059874888294,15.773011617515639,9.874888293118856,15.281501340482574,17.158176943699733,39.10505836575876,13.359273670557718,45.34435261707989,1815.0,56.52892561983471,27.613941018766756,4.0453074433656955,6.472491909385114,4.854368932038835,6.796116504854369,5.016181229773463,8.090614886731391,2.750809061488673,7.119741100323624,8.25242718446602,7.605177993527508,10.032362459546926,5.501618122977346,6.796116504854369,7.605177993527508,5.339805825242719,3.72168284789644,18.122977346278315,31.22977346278317,17.637540453074433,14.401294498381876,1.5615962984384038
9,"Census Tract 363, Queens County, New York",1771.0,36,081,036300,57802.0,497.0,3.7267080745341614,14.850367024280068,72.84020327498588,6.4935064935064934,0.0,51.60926030491248,48.39073969508752,10.446075663466967,13.721061547148503,14.511575381140599,14.737436476566911,12.817617165443252,43.482142857142854,8.125,40.55891238670695,1324.0,58.383685800604226,28.063241106719367,7.44466800804829,2.414486921529175,6.438631790744467,3.8229376257545273,0.8048289738430584,2.2132796780684103,2.816901408450704,4.0241448692152915,8.853118712273641,16.29778672032193,11.670020120724345,13.682092555331993,5.4325955734406435,6.639839034205232,1.2072434607645874,6.237424547283702,12.676056338028168,18.712273641851105,27.967806841046276,12.072434607645874,1.5025041736227045
