Zip,Population,County,State,WiredCount_2020,Fwcount_2020,BroadbandProviderCount,AllProviderCount_2020,Wired25_3_2020,Wired100_3_2020,All25_3_2020,All100_3,TestCount,AverageMbps,FastestAverageMbps,Access to Terrestrial Broadband,Lowest Priced Terrestrial Broadband Plan
24646,750.00,Buchanan,Virginia,3,1,4,8,2,2,4,2,530,18.67,33.45,1.00,45.95
24656,3404.00,Buchanan,Virginia,5,1,6,10,4,4,6,4,2544,67.62,116.12,1.00,45.95
24657,321.00,Buchanan,Virginia,4,1,5,9,3,3,5,3,0,0,0,1.00,45.95
23004,851.00,Buckingham,Virginia,1,0,1,7,1,1,3,2,300,7.21,10.36,0.17,NULL
23123,1860.00,Buckingham,Virginia,2,0,2,7,1,1,3,2,294,12.39,24.56,0.57,NULL
23921,1991.00,Buckingham,Virginia,2,1,3,8,2,2,5,3,1060,28.08,53.36,0.67,NULL
23936,8212.00,Buckingham,Virginia,6,1,7,12,5,5,8,6,1086,42.64,130.86,0.27,45
24562,426.00,Buckingham,Virginia,2,1,3,8,0,0,3,1,56,2.25,7.69,0.48,NULL
24599,606.00,Buckingham,Virginia,2,1,3,8,0,0,3,1,532,4.6,8.98,0.78,NULL
18913,185.00,Bucks,Pennsylvania,3,0,3,9,2,2,4,2,,,,1.00,39.99
18927,NULL,Bucks,Pennsylvania,,,0,,,,,,,,,,
18932,388.00,Bucks,Pennsylvania,3,0,3,9,2,2,4,2,,,,0.99,39.99
18933,NULL,Bucks,Pennsylvania,,,0,,,,,,,,,,
18934,NULL,Bucks,Pennsylvania,,,0,,,,,,,,,,
18991,NULL,Bucks,Pennsylvania,,,0,,,,,,,,,,
18077,2370.00,Bucks,Pennsylvania,6,0,6,11,4,4,6,4,820,22.06,50.25,1.00,49.82
18901,27598.00,Bucks,Pennsylvania,4,0,4,10,2,2,4,2,39342,218.41,529.64,0.96,39.99
18902,20973.00,Bucks,Pennsylvania,3,0,3,9,2,2,4,2,25174,178.17,331.26,1.00,39.99
18914,21063.00,Bucks,Pennsylvania,3,0,3,9,2,2,4,2,25944,140.44,399.43,1.00,39.99
18917,2158.00,Bucks,Pennsylvania,4,0,4,10,2,2,4,2,1038,77.17,205.92,1.00,39.99
